idx,s_id,city,enrollment,graderange,gsrating,lat,lon,parentrating,phone,school_name,school_type,website
21,5af7493818e4261b6296a915,Alameda,375,6-12,8,37.779053,-122.28703,4,(510) 995-4300,Alameda Community Learning Center,charter,http://www.alamedaclc.org
22,5af7493818e4261b6296a916,Alameda,1853,9-12,9,37.764267,-122.24809,4,(510) 337-7022,Alameda High School,public,http://aus.alamedausd.ca.schoolloop.com/
23,5af7493818e4261b6296a917,Alameda,174,9-12,9,37.77984,-122.28042,4,(510) 748-4021,Alameda Science And Technology Institute,public,https://asti-alamedausd-ca.schoolloop.com/
24,5af7493818e4261b6296a918,Alameda,622,K-5,9,37.745266,-122.23931,5,(510) 748-4003,Amelia Earhart Elementary School,public,
25,5af7493818e4261b6296a919,Alameda,13,K-12,NA,37.76968,-122.24931,5,(510) 748-0428,"Applied Scholastics Academy, East Bay",private,http://asaeastbay.com/
26,5af7493818e4261b6296a91a,Alameda,583,K-8,9,37.739,-122.25199,5,(510) 748-4010,Bay Farm,public,
27,5af7493818e4261b6296a91b,Alameda,NA,K-3,NA,37.767033,-122.24836,3,(510) 523-7858,Central Christian School,private,http://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196202253
28,5af7493818e4261b6296a91c,Alameda,NA,1-12,NA,37.76858,-122.25329,5,(510) 769-7100,Children's Learning Center,private,http://www.clcalameda.com/
29,5af7493818e4261b6296a91d,Alameda,NA,K-5,NA,37.766087,-122.248116,5,(510) 769-7100,Children's Learning Center,private,
30,5af7493818e4261b6296a91e,Alameda,NA,9-12,NA,37.725845,-122.23934,5,(510) 814-7321,Chinese American Schools - Alameda,private,
31,5af7493818e4261b6296a91f,Alameda,349,K-8,NA,37.727272,-122.239456,4,(510) 522-0200,Chinese Christian Schools - Alameda,private,
32,5af7493818e4261b6296a920,Alameda,NA,K-6,NA,37.77234,-122.282875,5,(510) 219-9410,Da Vinci Center For Gifted Children,private,
33,5af7493818e4261b6296a921,Alameda,519,K-5,9,37.762207,-122.25898,4,(510) 748-4009,Donald D. Lum Elementary School,public,http://www.alameda.k12.ca.us
34,5af7493818e4261b6296a922,Alameda,NA,9-12,NA,37.778625,-122.28792,4,(510) 879-3037,East Bay Regional Occupation Center/Agency (Roc/P),public,
35,5af7493818e4261b6296a923,Alameda,486,K-5,9,37.76444,-122.23476,4,(510) 748-4002,Edison Elementary School,public,http://www.schoolsrock.com
36,5af7493818e4261b6296a924,Alameda,229,6-8,NA,37.772766,-122.28901,5,(510) 337-7027,Encinal Junior Jets,public,
37,5af7493818e4261b6296a925,Alameda,NA,6-12,6,37.772766,-122.28901,4,(510) 748-4023,Encinal Junior/Senior High,public,http://ehs.alamedausd.ca.schoolloop.com/
38,5af7493818e4261b6296a926,Alameda,588,K-5,8,37.754044,-122.23798,4,(510) 748-4013,Frank Otis Elementary School,public,http://www.alameda.k12.ca.us.gov
39,5af7493818e4261b6296a927,Alameda,326,K-5,8,37.769012,-122.26162,5,(510) 748-4004,Franklin Elementary School,public,https://franklin-alamedausd-ca.schoolloop.com/
40,5af7493818e4261b6296a928,Alameda,452,K-5,6,37.769707,-122.25081,3,(510) 748-4005,Henry Haight Elementary School,public,http://www.alameda.k12
41,5af7493818e4261b6296a929,Alameda,144,9-12,NA,37.786892,-122.28588,4,(510) 748-4024,Island High (Continuation) School,public,http://ihs.alamedausd.ca.schoolloop.com/
42,5af7493818e4261b6296a92a,Alameda,900,6-8,9,37.75182,-122.23215,4,(510) 748-4018,Lincoln Middle School,public,http://lms.alamedausd.ca.schoolloop.com/
43,5af7493918e4261b6296a92b,Alameda,321,K-8,5,37.772636,-122.27143,5,(510) 337-7027,Maya Lin School,public,www.alameda.k12.ca.us/
44,5af7493918e4261b6296a92c,Alameda,530,K-12,5,37.779053,-122.28703,4,(510) 748-4008,Nea Community Learning Center School,charter,www.neaclc.org
45,5af7493918e4261b6296a92d,Alameda,19,K-2,NA,37.738087,-122.24237,3,(510) 521-2711,Peter Pan Academy,private,http://www.peterpanschools.com/peteracademy/peteracademy_index.html
46,5af7493918e4261b6296a92e,Alameda,NA,K-3,NA,37.784492,-122.275764,4,(510) 523-5050,Peter Pan Academy,private,
47,5af7493918e4261b6296a92f,Alameda,160,PK-5,NA,37.75891,-122.23161,4,(510) 865-4536,Rising Star Montessori School,private,http://www.risingstarschool.org
48,5af7493918e4261b6296a930,Alameda,600,K-5,4,37.781807,-122.28614,5,(510) 748-4006,Ruby Bridges Elementary School,public,http://rubybridges.alamedausd.ca.schoolloop.com/
49,5af7493918e4261b6296a931,Alameda,443,9-12,NA,37.765614,-122.25512,4,(510) 523-1526,Saint Joseph Notre Dame High School,private,http://sjnd.org
50,5af7493918e4261b6296a932,Alameda,240,K-8,NA,37.76608,-122.25502,4,(510) 522-4456,St. Joseph Elementary School,private,http://www.stjosephalameda.org
51,5af7493918e4261b6296a933,Alameda,228,PK-8,NA,37.757187,-122.23314,4,(510) 521-0787,St. Philip Neri Elementary School,private,
52,5af7493918e4261b6296a934,Alameda,508,6-8,7,37.77693,-122.285286,5,(510) 748-4017,The Academy Of Alameda,charter,http://aoaschools.org/
53,5af7493918e4261b6296a935,Alameda,NA,K-5,NA,37.77693,-122.285286,5,(510) 748-4017,The Academy Of Alameda Elementary,charter,www.aoaschools.org
54,5af7493918e4261b6296a936,Alameda,NA,K-5,NA,37.763783,-122.247086,4,(510) 521-9227,The Child Unique Montessori School,private,
55,5af7493918e4261b6296a937,Alameda,439,6-8,6,37.763042,-122.26195,4,(510) 748-4015,Will C. Wood Middle School,public,http://www.wood.k12.ca.us
56,5af7493918e4261b6296a938,Alameda,316,K-5,6,37.771595,-122.28446,4,(510) 748-4014,William G. Paden Elementary School,public,https://paden-alamedausd-ca.schoolloop.com/
57,5af7493918e4261b6296a939,Albany,1195,9-12,10,37.89666,-122.2926,4,(510) 558-2500,Albany High School,public,http://ahs.ausdk12.org/
58,5af7493918e4261b6296a93a,Albany,868,6-8,10,37.897823,-122.29531,4,(510) 558-3600,Albany Middle School,public,http://ams.ausdk12.org/
59,5af7493918e4261b6296a93b,Albany,570,K-5,9,37.88983,-122.29515,4,(510) 558-3700,Cornell Elementary School,public,http://cornell.ausdk12.org/
60,5af7493918e4261b6296a93c,Albany,27,10-12,NA,37.893272,-122.30274,2,(510) 559-6570,Macgregor High (Continuation) School,public,
61,5af7493918e4261b6296a93d,Albany,499,K-5,10,37.88864,-122.28821,4,(510) 558-4740,Marin Elementary School,public,marin.ausdk12.org
62,5af7493918e4261b6296a93e,Albany,697,K-5,9,37.887543,-122.30089,5,(510) 558-4800,Ocean View Elementary School,public,http://ov.ausdk12.org/
63,5af7493918e4261b6296a93f,Albany,120,6-12 & ungraded,NA,37.890675,-122.294975,5,(510) 525-5506,Tilden Preparatory School,private,http://www.tildenprep.com/index.php
64,5af7493918e4261b6296a940,Alhambra,2726,9-12,8,34.095024,-118.13027,4,(626) 943-6910,Alhambra High School,public,www.ausd.us
65,5af7493918e4261b6296a941,Alhambra,230,PK-4,NA,34.090637,-118.140495,4,(626) 282-5695,All Souls Elementary School,private,www.allsoulsla.org
66,5af7493918e4261b6296a942,Alhambra,104,PK-5,NA,34.09457,-118.15858,4,(626) 943-9970,Bell Tower Trilingual School,private,www.belltowerschool.com
67,5af7493918e4261b6296a943,Alhambra,173,9-12,NA,34.091236,-118.14198,4,(626) 943-6680,Century High School,public,www.ausd.us
68,5af7493918e4261b6296a944,Alhambra,488,K-8,7,34.08779,-118.15435,4,(626) 943-3340,Emery Park Elementary School,public,www.ausd.us
69,5af7493918e4261b6296a945,Alhambra,166,K-8,NA,34.08633,-118.115654,4,(626) 289-3664,Emmaus Lutheran,private,
70,5af7493918e4261b6296a946,Alhambra,58,9-12,NA,34.090057,-118.13523,4,(626) 282-9936,First Presbyterian School,private,
71,5af7493918e4261b6296a947,Alhambra,NA,9-12,NA,34.090057,-118.13523,4,(626) 282-9936,First Presbyterian School,private,
72,5af7493918e4261b6296a948,Alhambra,587,K-8,6,34.071213,-118.15048,4,(626) 308-2411,Fremont Elementary School,public,www.ausd.us
73,5af7493918e4261b6296a949,Alhambra,644,K-8,7,34.101524,-118.13289,3,(626) 308-2415,Garfield Elementary School,public,www.ausd.us
74,5af7493918e4261b6296a94a,Alhambra,488,K-8,5,34.100815,-118.11832,4,(626) 308-2419,Granada Elementary School,public,www.ausd.us
75,5af7493918e4261b6296a94b,Alhambra,87,9-12,NA,34.091236,-118.14198,4,(626) 943-6681,Independence High (Alternative) School,public,www.ausd.us
76,5af7493918e4261b6296a94c,Alhambra,100,K-12,NA,34.098232,-118.12192,5,(626) 308-4521,Leeway School,private,
77,5af7493918e4261b6296a94d,Alhambra,171,K,NA,34.08967,-118.1194,1,(626) 282-9736,Lily's Garden Preschool And Kindergarten,private,
78,5af7493918e4261b6296a94e,Alhambra,578,K-8,7,34.07568,-118.13823,4,(626) 308-2423,Marguerita Elementary School,public,www.ausd.us
79,5af7493918e4261b6296a94f,Alhambra,2306,9-12,10,34.06984,-118.11535,4,(626) 943-6710,Mark Keppel High School,public,www.ausd.us
80,5af7493918e4261b6296a950,Alhambra,1134,K-8,8,34.106426,-118.12707,4,(626) 308-2400,Martha Baldwin Elementary School,public,www.ausd.us
81,5af7493918e4261b6296a951,Alhambra,215,PK-6,NA,34.09195,-118.14818,4,(626) 284-0840,Oneonta Montessori School,private,www.oneontamontesssori.com
82,5af7493918e4261b6296a952,Alhambra,757,K-8,8,34.095253,-118.14209,4,(626) 308-2435,Park Elementary School,public,www.ausd.us
83,5af7493918e4261b6296a953,Alhambra,300,9-12,NA,34.07309,-118.13994,4,(626) 282-4151,Ramona Convent Secondary School,private,http://www.ramonaconvent.org/
84,5af7493918e4261b6296a954,Alhambra,869,K-8,8,34.076015,-118.12815,4,(626) 943-3660,Ramona Elementary School,public,www.ausd.us
85,5af7493918e4261b6296a955,Alhambra,100,K-8,NA,34.10595,-118.11885,3,(626) 289-3364,Saint Therese Carmelite School,private,https://sainttheresecarmeliteschool.com/
86,5af7493918e4261b6296a956,Alhambra,229,K-8,NA,34.063595,-118.14717,4,(626) 284-5778,St. Thomas More Catholic Elementary School,private,
87,5af7493918e4261b6296a957,Alhambra,694,K-8,6,34.096806,-118.13503,4,(626) 943-6620,William Northrup Elementary School,public,www.ausd.us
88,5af7493918e4261b6296a958,Aliso Viejo,165,K-1,NA,33.572662,-117.7034,4,(949) 360-7022,Academy On The Hills,private,http://academyonthehills.com/
89,5af7493918e4261b6296a959,Aliso Viejo,3036,9-12,9,33.561375,-117.72091,4,(949) 831-5590,Aliso Niguel High School,public,http://anhs-capousd-ca.schoolloop.com/
90,5af7493918e4261b6296a95a,Aliso Viejo,374,K-8,NA,33.557636,-117.72732,4,(949) 389-0300,Aliso Viejo Christian,private,
91,5af7493918e4261b6296a95b,Aliso Viejo,1086,6-8,8,33.580547,-117.71299,4,(949) 831-2622,Aliso Viejo Middle School,public,https://avms-capousd-ca.schoolloop.com/
92,5af7493918e4261b6296a95c,Aliso Viejo,715,K-5,7,33.56177,-117.73628,4,(949) 234-5941,Canyon Vista Elementary School,public,http://www.capousd.org/cves
93,5af7493918e4261b6296a95d,Aliso Viejo,NA,1-12,NA,33.596035,-117.723816,4,(949) 786-0072,Crosswalk Academy,private,
94,5af7493918e4261b6296a95e,Aliso Viejo,789,K-5,8,33.58132,-117.73441,4,(949) 349-9452,Don Juan Avila Elementary School,public,https://djaes-capousd-ca.schoolloop.com/
95,5af7493918e4261b6296a95f,Aliso Viejo,1236,6-8,9,33.58132,-117.73441,4,(949) 362-0348,Don Juan Avila Middle School,public,http://djams.capousd.ca.schoolloop.com/
96,5af7493918e4261b6296a960,Aliso Viejo,NA,K-6,NA,33.564987,-117.72876,4,(949) 241-4175,Farm School,private,
97,5af7493918e4261b6296a961,Aliso Viejo,400,K-8,8,33.55354,-117.72197,4,(949) 448-7232,Journey School,charter,http://www.journeyschool.net
98,5af7493918e4261b6296a962,Aliso Viejo,739,K-5,9,33.575146,-117.73539,4,(949) 360-9001,Oak Grove Elementary School,public,https://oges-capousd-ca.schoolloop.com/
99,5af7493918e4261b6296a963,Aliso Viejo,NA,3-12,NA,33.60594,-117.721756,4,(949) 855-0408,Ocean View School,private,https://www.oceanviewnps.com/
100,5af7493918e4261b6296a964,Aliso Viejo,730,PK-8,NA,33.553913,-117.724945,4,(949) 448-9027,St. Mary's School,private,http://www.smaa.org
101,5af7493918e4261b6296a965,Aliso Viejo,12,6-12,NA,33.56497,-117.7285,4,(949) 939-8320,The Discovery Preparatory School,private,www.discoveryprepschool.com
102,5af7493918e4261b6296a966,Aliso Viejo,134,K-8,NA,33.564987,-117.72876,4,(949) 510-4861,Vandamme Academy,private,http://www.vandammeacademy.com
103,5af7493918e4261b6296a967,Aliso Viejo,464,PK-5,5,33.55452,-117.72076,4,(949) 448-0012,Wood Canyon Elementary School,public,https://wces-capousd-ca.schoolloop.com/
104,5af7493918e4261b6296a968,Alturas,NA,K-6,NA,41.491028,-120.53996,4,(530) 233-7201,Alturas Community Day School,public,
105,5af7493918e4261b6296a969,Alturas,378,K-5,2,41.4909,-120.55312,4,(530) 233-7201,Alturas Elementary School,public,http://www.modoc.k12.ca.us/
106,5af7493918e4261b6296a96a,Alturas,15,1-8,NA,41.49094,-120.5497,4,(530) 640-0828,Alturas Mennonite School,private,
107,5af7493918e4261b6296a96b,Alturas,5,6-10,NA,41.491028,-120.53996,3,(530) 233-7201,High Desert Community Day School,public,
108,5af7493918e4261b6296a96c,Alturas,NA,K-12,NA,41.48734,-120.55774,3,(530) 233-7103,Modoc County Community - Alturas School,public,
109,5af7493918e4261b6296a96d,Alturas,NA,9-12,NA,41.4808,-120.54388,3,(530) 233-7102,Modoc County Rop School,public,www.modoccoe.k12.ca.us
110,5af7493918e4261b6296a96e,Alturas,17,PK-12,3,41.4808,-120.54388,1,(530) 233-7110,Modoc County Special Education School,public,http://modoccoe.k12.ca.us
111,5af7493918e4261b6296a96f,Alturas,220,9-12,4,41.49173,-120.54251,5,(530) 233-7201,Modoc High School,public,www.modoc.k12.ca.us
112,5af7493918e4261b6296a970,Alturas,199,6-8,NA,41.48733,-120.55463,5,(530) 233-7201,Modoc Middle School,public,
113,5af7493918e4261b6296a971,Alturas,6,9-12,NA,41.491028,-120.53996,5,(530) 233-7201,Warner High School,public,
114,5af7493a18e4261b6296a972,American Canyon,1551,9-12,7,38.166378,-122.23873,3,(707) 265-2710,American Canyon High School,public,www.nvusd.org
115,5af7493a18e4261b6296a973,American Canyon,1058,6-8,6,38.16986,-122.26705,4,(707) 259-8592,American Canyon Middle School,public,www.acms.nvusd.org
116,5af7493a18e4261b6296a974,American Canyon,NA,6-8,NA,38.170563,-122.26529,5,(707) 259-8592,Archways Community Day School,public,
117,5af7493a18e4261b6296a975,American Canyon,47,K-12,NA,38.18418,-122.2586,5,(707) 642-1143,Calvary Baptist Christian Academy,private,
118,5af7493a18e4261b6296a976,American Canyon,60,K-12,NA,38.18418,-122.2586,3,(707) 642-1143,Calvary Baptist Christian Academy,private,www.cbcac.org
119,5af7493a18e4261b6296a977,American Canyon,720,K-5,7,38.1684,-122.2463,5,(707) 265-2363,Canyon Oaks Elementary School,public,www.coes.nvusd.org
120,5af7493a18e4261b6296a978,American Canyon,635,K-5,6,38.17116,-122.26214,4,(707) 644-4486,Donaldson Way Elementary School,public,www.dwes.nvusd.org
121,5af7493a18e4261b6296a979,American Canyon,18,9-12,NA,38.166824,-122.238014,4,(707) 265-2710,Legacy High,public,www.nvusd.org
122,5af7493a18e4261b6296a97a,American Canyon,467,PK-5,4,38.184937,-122.25764,4,(707) 644-0050,Napa Junction Elementary School,public,www.njes.nvusd.org
123,5af7493a18e4261b6296a97b,American Canyon,50,PK-6,NA,38.16676,-122.25502,4,(707) 647-7178,Napa Valley Montessori,private,www.napavalleymontessori.com
124,5af7493a18e4261b6296a97c,Anaheim,119,1-12,NA,33.846375,-117.97349,3,(714) 995-1800,"Acaciawood School, Inc.",private,http://www.awschool.org
125,5af7493a18e4261b6296a97d,Anaheim,NA,1-12,NA,33.833103,-117.9785,3,(951) 229-8272,Adventure Schooling,private,
126,5af7493a18e4261b6296a97e,Anaheim,NA,K-8,NA,33.805477,-117.9595,3,(714) 535-6981,Al-Ansar Academy,private,
127,5af7493a18e4261b6296a97f,Anaheim,635,K-6,7,33.82912,-117.986,4,(714) 527-7761,Albert Schweitzer Elementary School,public,www.magnoliasd.org
128,5af7493a18e4261b6296a980,Anaheim,NA,K-5,NA,33.814857,-117.95922,4,(714) 991-8961,Amaanah Montessori School,private,
129,5af7493a18e4261b6296a981,Anaheim Hills,24,PK-6,NA,33.864918,-117.74153,4,(714) 855-3329,AmeriMont Academy,private,www.amerimontacademy.com
130,5af7493a18e4261b6296a982,Anaheim,NA,7-12,NA,33.83669,-117.89867,4,(714) 535-2535,Anaheim Discovery Christian Jr./Sr. High School,private,
131,5af7493a18e4261b6296a983,Anaheim,NA,6-12,NA,33.84082,-117.96623,4,(714) 535-2535,Anaheim Discovery Christian Junior,private,
132,5af7493a18e4261b6296a984,Anaheim,3206,9-12,4,33.833637,-117.92419,4,(714) 999-3717,Anaheim High School,public,http://anaheim.auhsd.k12.ca.us
133,5af7493a18e4261b6296a985,Anaheim,513,K-6,9,33.829754,-117.76213,4,(714) 997-6169,Anaheim Hills Elementary School,public,www.orangeusd.k12.ca.us/schools/elementary/anaheimhills/index.asp
134,5af7493a18e4261b6296a986,Anaheim,NA,K-6,NA,33.85603,-117.77214,4,(714) 283-5858,Anaheim Hills Montessori School,private,
135,5af7493a18e4261b6296a987,Anaheim,NA,1-12,NA,33.822052,-117.975494,4,(714) 871-4635,Anaheim Magnolia Christian School,private,
136,5af7493a18e4261b6296a988,Anaheim,NA,PK-5,NA,33.8361,-117.95969,4,(714) 772-1005,Apple Tree Preschool,private,
137,5af7493a18e4261b6296a989,Anaheim,734,K-6,6,33.82147,-117.99232,4,(714) 761-5442,Baden-Powell Elementary School,public,www.magnoliasd.org
138,5af7493a18e4261b6296a98a,Anaheim,1060,7-8,2,33.81719,-117.93391,3,(714) 999-3663,Ball Junior High School,public,balljhs.org
139,5af7493a18e4261b6296a98b,Anaheim,713,K-6,3,33.82296,-117.95148,3,(714) 517-8900,Barton (Clara) Elementary School,public,
140,5af7493a18e4261b6296a98c,Anaheim,NA,1-12,NA,33.8601,-117.817444,5,(714) 578-0238,Berean Christian Academy,private,
141,5af7493a18e4261b6296a98d,Anaheim,1193,7-8,4,33.8411,-117.96022,4,(714) 999-3613,Brookhurst Junior High School,public,http://brookhurst.org
142,5af7493a18e4261b6296a98e,Anaheim,NA,K,NA,33.8252,-117.8721,5,(714) 630-6670,Calvary Baptist Church Preschool and Kindergarten,private,
143,5af7493a18e4261b6296a98f,Anaheim,82,PK-8,NA,33.81314,-117.90385,4,(714) 563-9620,Calvary Chapel Anaheim School,private,www.ccanaheimschool.com
144,5af7493a18e4261b6296a990,Anaheim,2338,9-12,8,33.84791,-117.79003,4,(714) 532-8000,Canyon High School,public,www.orangeusd.k12.ca.us/schools/high/canyon/index.asp
145,5af7493a18e4261b6296a991,Anaheim,141,K-12,NA,33.84759,-117.79003,1,(714) 997-6171,Canyon Hills School,public,www.orangeusd.k12.ca.us/schools/special/canyonhills/index.asp
146,5af7493a18e4261b6296a992,Anaheim Hills,NA,K-3,NA,33.862225,-117.73839,2,(714) 974-1365,Canyon Montessori Center,private,
147,5af7493a18e4261b6296a993,Anaheim,692,K-6,8,33.844547,-117.74383,4,(714) 532-7027,Canyon Rim Elementary School,public,www.orangeusd.k12.ca.us/schools/elementary/canyonrim/index.asp
148,5af7493a18e4261b6296a994,Anaheim,570,K-6,6,33.833645,-118.00231,4,(714) 228-3210,Centralia Elementary School,public,http://www.cesd.us/
149,5af7493a18e4261b6296a995,Anaheim,502,K-6,7,33.8111,-118.0151,4,(714) 236-3830,Cerritos Elementary School,public,www.savsd.org
150,5af7493a18e4261b6296a996,Anaheim,NA,K,NA,33.844627,-117.94134,4,(714) 758-1947,Chez Grand Mere Preschool,private,
151,5af7493a18e4261b6296a997,Anaheim,NA,K,NA,33.852158,-117.92453,4,(714) 635-2743,Chez Grand' Mere Preschool,private,
152,5af7493a18e4261b6296a998,Anaheim,65,7-12,NA,33.816467,-117.94673,5,(714) 999-7754,Community Day/Alternative Education/Special Education School,public,http://www.cde.ca.gov/re/sd/details.asp?cds=30664310105841&Public=Y
153,5af7493a18e4261b6296a999,Anaheim,NA,K-8,NA,33.826,-117.9146,5,(714) 280-0851,Community School of Central Orange County,private,
154,5af7493a18e4261b6296a99a,Anaheim,163,9-12,NA,33.829784,-117.964035,5,(714) 776-1717,Cornelia Connelly School,private,http://www.connellyhs.org/page/
155,5af7493a18e4261b6296a99b,Anaheim,770,K-6,9,33.850426,-117.80832,3,(714) 997-6371,Crescent Elementary School,public,www.orangeusd.k12.ca.us/schools/elementary/cresent_primary/index.asp
156,5af7493a18e4261b6296a99c,Anaheim,NA,1-12,NA,33.8273,-117.9875,3,(714) 821-0727,Cypress Branch Christian School,private,
157,5af7493a18e4261b6296a99d,Anaheim,1180,7-8,3,33.819668,-117.98379,3,(714) 220-4210,Dale Junior High School,public,www.auhsd.us/dale
158,5af7493a18e4261b6296a99e,Anaheim,675,K-6,7,33.828,-118.0078,4,(714) 228-3230,Danbrook Elementary School,public,
159,5af7493a18e4261b6296a99f,Anaheim,975,K-6,1,33.850353,-117.89636,4,(714) 517-8902,Edison (Thomas) Elementary School,public,
160,5af7493a18e4261b6296a9a0,Anaheim,1155,7-8,8,33.856945,-117.7675,4,(714) 997-6238,El Rancho Charter School,charter,http://www.orangeusd.k12.ca.us/schools/middle/elrancho/index.asp
161,5af7493a18e4261b6296a9a1,Anaheim,1858,9-12,9,33.868114,-117.80378,4,(714) 986-7540,Esperanza High School,public,http://www.esperanzahs.com
162,5af7493a18e4261b6296a9a2,Anaheim,607,K-6,6,33.805725,-117.97346,4,(714) 761-5997,Esther L. Walter Elementary School,public,www.magnoliasd.org
163,5af7493a18e4261b6296a9a3,Anaheim,629,9-12,NA,33.843777,-117.96008,3,(714) 710-8517,Fairmont Preparatory Academy,private,http://www.fairmontschools.com/gsfpa
164,5af7493a18e4261b6296a9a4,Anaheim,184,PK-1,NA,33.832462,-117.92332,5,(714) 710-8529,Fairmont Private Historic Anaheim Preschool School,private,http://www.fairmontschools.com
165,5af7493a18e4261b6296a9a5,Anaheim Hills,509,PK-8,NA,33.85845,-117.80167,4,(714) 710-8529,Fairmont Private Schools - Anaheim Hills Campus,private,http://www.fairmontschools.com/
166,5af7493a18e4261b6296a9a6,Anaheim,477,PK-8,NA,33.830486,-117.935585,4,(714) 710-8529,Fairmont Private Schools - Historic Anaheim Campus,private,http://www.fairmontschools.com
167,5af7493a18e4261b6296a9a7,Anaheim,14,1-12,NA,33.83251,-117.91676,5,(714) 774-7283,Faith Christian Academy Of The Cma,private,
168,5af7493a18e4261b6296a9a8,Anaheim,908,K-6,5,33.827663,-117.91864,4,(714) 517-8905,Franklin (Benjamin) Elementary School,public,
169,5af7493a18e4261b6296a9a9,Anaheim,100,PK-8,NA,33.83242,-117.9169,5,(714) 930-6638,Frontiers Academy,private,http://www.frontiersacademy.org
170,5af7493a18e4261b6296a9aa,Anaheim,748,K-6,3,33.84315,-117.96681,4,(714) 517-8908,Gauer (Melbourne A.) Elementary School,public,
171,5af7493a18e4261b6296a9ab,Anaheim,717,9-12,NA,33.816467,-117.94673,5,(714) 999-3738,Gilbert High (Continuation) School,public,www.auhsd.us/gilbert
172,5af7493a18e4261b6296a9ac,Anaheim,364,K-6,6,33.86815,-117.81302,4,(714) 986-7150,Glenview Elementary School,public,
173,5af7493a18e4261b6296a9ad,Anaheim,NA,K-6,NA,33.84939,-117.92254,4,(714) 956-4625,Goals Academy,charter,www.goalsacademy.us
174,5af7493a18e4261b6296a9ae,Anaheim,50,K-12,NA,33.871494,-117.75257,5,(714) 283-3555,Grace OC Academy,private,www.graceocacademy.com
175,5af7493a18e4261b6296a9af,Anaheim,NA,K-6,NA,33.863506,-117.778305,5,(714) 970-8896,Growing In Wisdom Christian School,private,
176,5af7493a18e4261b6296a9b0,Anaheim,794,K-6,2,33.822636,-117.8811,4,(714) 517-8911,Guinn (James M.) Elementary School,public,
177,5af7493a18e4261b6296a9b1,Anaheim,782,K-6,5,33.814976,-118.00991,4,(714) 236-3835,Hansen Elementary School,public,www.savsd.org
